salesanalysis,Design,Category_Code,VOCNO
1,DIAMOND BANGLE,BN,30
1,DIAMOND EARRING,ER,30
1,DIAMOND RING,RN,30
1,DIAMOND BRACELET,BT,40
1,DIAMOND RING,RN,40
1,DIAMOND EARRING,ER,40
1,DIAMOND PENDANT,PN,40
1,DIAMOND RING,RN,3
1,DIAMOND RING BAN,RN,3
1,DIAMOND RING,RN,3
1,DIAMOND NECKLACE,NK,4
1,DIAMOND EARRING,ER,4
1,DIAMOND PENDANT,PN,5
1,DIAMOND RING,RN,40
1,DIAMOND CHOKER NECKLACE,NK,40
1,DIAMOND NECKLACE,NK,40
1,DIAMOND EARRING,ER,26
1,DIAMOND EARRING,ER,30
1,DIAMOND RING,RN,33
1,DIAMOND RING,RN,34
1,,,43
1,,,50
1,DIAMOND EARRING,ER,44
1,DIAMOND EARRING,ER,44
1,DIAMOND PENDANT,PN,44
1,DIAMOND PENDANT,PN,44
1,DIAMOND PENDANT,PN,4
1,DIAMOND EARRING,ER,46
1,DIAMOND EARRING,ER,46
1,DIAMOND,PN,46
1,DIAMOND EARRING,ER,46
1,DIAMOND EARRING,ER,5
1,DIAMOND EARRING,,47
1,DIAMOND EARRING,ER,51
1,DIAMOND PENDANT,PN,51
1,DIAMOND EARRING,ER,53
1,DIAMOND RING,RN,53
1,DIAMOND PENDANT,PN,53
1,DIAMOND EARRING,ER,38
1,DIAMOND RING,RN,38
1,DIAMOND RING,RN,3
1,DIAMOND PENDANT,PN,26
1,Diamond Pendant,,14
1,DIAMOND RING,RN,14
1,DIAMOND PENDANT,PN,14
1,DIAMOND EARRING,ER,9
1,DIAMOND RING,RN,9
1,Diamond Ring,,4
1,DIAMOND RING,RN,2
1,,,7
1,DIAMOND BRACELET,BT,10
1,DIAMOND PENDANT,PN,13
1,DIAMOND PENDANT,PN,13
1,DIAMOND EARRING,ER,18
1,Diamond Ring,,19
1,DIAMOND EARRING,ER,20
1,DIAMOND EARRING,ER,28
1,DIAMOND BRACELET,BT,28
1,DIAMOND,BT,28
1,DIAMOND RING,RN,28
1,,,6
1,DIAMOND PENDANT,PN,64
